GEOID,B01001_001E,state,county,pop
06001,1649473,06,001,1649473.0
06003,1616,06,003,1616.0
06005,41428,06,005,41428.0
06007,207929,06,007,207929.0
06009,46248,06,009,46248.0
06011,21984,06,011,21984.0
06013,1165012,06,013,1165012.0
06015,27107,06,015,27107.0
06017,192662,06,017,192662.0
06019,1016725,06,019,1016725.0
06021,28494,06,021,28494.0
06023,134541,06,023,134541.0
06025,180202,06,025,180202.0
06027,18739,06,027,18739.0
06029,915075,06,029,915075.0
06031,153298,06,031,153298.0
06033,68152,06,033,68152.0
06035,30356,06,035,30356.0
06037,9808667,06,037,9808667.0
06039,160940,06,039,160940.0
06041,257969,06,041,257969.0
06043,17082,06,043,17082.0
06045,90244,06,045,90244.0
06047,290201,06,047,290201.0
06049,8600,06,049,8600.0
06051,13148,06,051,13148.0
06053,437613,06,053,437613.0
06055,134869,06,055,134869.0
06057,102481,06,057,102481.0
06059,3165820,06,059,3165820.0
06061,419156,06,061,419156.0
06063,19423,06,063,19423.0
06065,2478600,06,065,2478600.0
06067,1594006,06,067,1594006.0
06069,67290,06,069,67290.0
06071,2197104,06,071,2197104.0
06073,3288774,06,073,3288774.0
06075,830235,06,075,830235.0
06077,797334,06,077,797334.0
06079,281555,06,079,281555.0
06081,742340,06,081,742340.0
06083,443701,06,083,443701.0
06085,1902047,06,085,1902047.0
06087,264926,06,087,264926.0
06089,181436,06,089,181436.0
06091,2746,06,091,2746.0
06093,43466,06,093,43466.0
06095,451918,06,095,451918.0
06097,485040,06,097,485040.0
06099,553990,06,099,553990.0
06101,98857,06,101,98857.0
06103,65167,06,103,65167.0
06105,15860,06,105,15860.0
06107,478693,06,107,478693.0
06109,54498,06,109,54498.0
06111,837469,06,111,837469.0
06113,220564,06,113,220564.0
06115,84507,06,115,84507.0
41001,16840,41,001,16840.0
41003,96303,41,003,96303.0
41005,423975,41,005,423975.0
41007,41363,41,007,41363.0
41009,53493,41,009,53493.0
41011,64827,41,011,64827.0
41013,26277,41,013,26277.0
41015,23381,41,015,23381.0
41017,206334,41,017,206334.0
41019,112072,41,019,112072.0
41021,1971,41,021,1971.0
41023,7209,41,023,7209.0
41025,7499,41,025,7499.0
41027,23905,41,027,23905.0
41029,222645,41,029,222645.0
41031,25203,41,031,25203.0
41033,88179,41,033,88179.0
41035,70247,41,035,70247.0
41037,8267,41,037,8267.0
41039,384207,41,039,384207.0
41041,50964,41,041,50964.0
41043,130706,41,043,130706.0
41045,31954,41,045,31954.0
41047,349244,41,047,349244.0
41049,12300,41,049,12300.0
41051,801477,41,051,801477.0
41053,89662,41,053,89662.0
41055,1938,41,055,1938.0
41057,27496,41,057,27496.0
41059,79940,41,059,79940.0
41061,26144,41,061,26144.0
41063,7553,41,063,7553.0
41065,26552,41,065,26552.0
41067,603947,41,067,603947.0
41069,1485,41,069,1485.0
41071,108734,41,071,108734.0
53001,20800,53,001,20800.0
53003,22467,53,003,22467.0
53005,212905,53,005,212905.0
53007,80172,53,007,80172.0
53009,77813,53,009,77813.0
53011,516959,53,011,516959.0
53013,4014,53,013,4014.0
53015,112360,53,015,112360.0
53017,44366,53,017,44366.0
53019,7387,53,019,7387.0
53021,98902,53,021,98902.0
53023,2353,53,023,2353.0
53025,101799,53,025,101799.0
53027,77053,53,027,77053.0
53029,86836,53,029,86836.0
53031,33577,53,031,33577.0
53033,2287171,53,033,2287171.0
53035,277881,53,035,277881.0
53037,47172,53,037,47172.0
53039,23411,53,039,23411.0
53041,85154,53,041,85154.0
53043,11489,53,043,11489.0
53045,67982,53,045,67982.0
53047,43425,53,047,43425.0
53049,23994,53,049,23994.0
53051,14050,53,051,14050.0
53053,930319,53,053,930319.0
53055,18478,53,055,18478.0
53057,131328,53,057,131328.0
53059,12402,53,059,12402.0
53061,844430,53,061,844430.0
53063,549056,53,063,549056.0
53065,48067,53,065,48067.0
53067,299067,53,067,299067.0
53069,4658,53,069,4658.0
53071,62161,53,071,62161.0
53073,230503,53,073,230503.0
53075,47003,53,075,47003.0
53077,257152,53,077,257152.0
